name,code,born
Aaron Connolly,IRL,2000
Aaron Cresswell,ENG,1989
Aaron Escandell,ESP,1995
Aaron Hickey,SCO,2002
Aaron Hunt,GER,1986
Aaron Lennon,ENG,1987
Aaron Leya Iseka,BEL,1997
Aaron Martin,ESP,1997
Aaron Mooy,AUS,1990
Aaron Niguez,ESP,1989
Aaron Ramsdale,ENG,1998
Aaron Ramsey,WAL,1990
Aaron Rowe,ENG,2000
Aaron Seydel,GER,1996
Aaron Tabacchi,ITA,1998
Aaron Wan-Bissaka,ENG,1997
Abdallah N'dour,SEN,1993
Abdallahi Mahmoud,MTN,2000
Abdelaziz Barrada,MAR,1989
Abdelhamid El Kaoutari,MAR,1990
Abdelhamid Sabiri,MAR,1996
Abdelkader Ghezzal,ALG,1984
Abdon Prats,ESP,1992
Abdou Diallo,SEN,1996
Abdou Lahat Diakhate,SEN,1998
Abdou Traore,MLI,1988
Abdoul Ba,MTN,1994
Abdoul Camara,GUI,1990
Abdoul Kader Bamba,FRA,1994
Abdoul Sissoko,FRA,1990
Abdoulay Diaby,MLI,1991
Abdoulay Konko,FRA,1984
Abdoulaye Ba,SEN,1991
Abdoulaye Bamba,CIV,1990
Abdoulaye Dabo,FRA,2001
Abdoulaye Diallo,SEN,1992
Abdoulaye Doucoure,MLI,1993
Abdoulaye Keita,MLI,1994
Abdoulaye Sidibe,FRA,2002
Abdoulaye Sylla,GUI,2000
Abdoulaye Toure,FRA,1994
Abdul Majeed Waris,GHA,1991
Abel Aguilar,COL,1985
Abel Gomez Moreno,ESP,1982
Abel Hernandez,URU,1990
Abel Ruiz,ESP,2000
Ablie Jallow,GAM,1998
Abou Diaby,FRA,1986
Abou Ouattara,BFA,1999
Aboubakar Kamara,MTN,1995
Abraham Gonzalez,ESP,1985
Abraham Minero,ESP,1986
Accursio Bentivegna,ITA,1996
Achraf Hakimi,MAR,1998
Achraf Lazaar,MAR,1992
Adalberto Penaranda,VEN,1997
Adam Armstrong,ENG,1997
Adam Bodzek,GER,1985
Adam Bogdan,HUN,1987
Adam Clayton,ENG,1989
Adam Federici,AUS,1985
Adam Forshaw,ENG,1991
Adam Hlousek,CZE,1988
Adam Idah,IRL,2001
Adam Johnson,ENG,1987
Adam Lallana,ENG,1988
Adam Lang,HUN,1993
Adam Marusic,MNE,1992
Adam Masina,MAR,1994
Adam Matthews,WAL,1992
Adam Matuszczyk,POL,1989
Adam Nagy,HUN,1995
Adam Ounas,ALG,1996
Adam Smith,ENG,1991
Adam Szalai,HUN,1987
Adam Webster,ENG,1995
Adam Zre�aeak,SVK,1994
Adama Diakhaby,FRA,1996
Adama Diomande,NOR,1990
Adama Mbengue,SEN,1993
Adama Niane,MLI,1993
Adama Soumaoro,FRA,1992
Adama Traore,MLI,1995
Adama Traore,ESP,1996
Adamo Coulibaly,FRA,1981
Aday,ESP,1987
Adel Taarabt,MAR,1989
Adem Ljajic,SRB,1991
Ademola Lookman,NGA,1997
Aderlan Santos,BRA,1989
Adil Aouchiche,FRA,2002
Adil Rami,FRA,1985
Adil Taoui,FRA,2001
Adlene Guedioura,ALG,1985
Admir Mehmedi,SUI,1991
Adnan Januzaj,BEL,1995
Adnane Tighadouini,MAR,1992
Adolfo Gaich,ARG,1999
Adri Embarba,ESP,1992
Adrian,ESP,1987
Adrian Colunga,ESP,1984
Adrian Cubas,PAR,1996
Adrian Dieguez,ESP,1996
Adrian Gonzalez,ESP,1988
Adrian Grbic,AUT,1996
Adrian Guerrero,ESP,1998
Adrian Gunino,URU,1989
Adrian Lopez,ESP,1988
Adrian Mariappa,JAM,1986
Adrian Marin,ESP,1997
Adrian Ortola,ESP,1993
Adrian Ramos,COL,1986
Adrian Sahibeddine,FRA,1994
Adrian Semper,CRO,1998
Adrian Stoian,ROU,1991
Adriano,BRA,1984
Adriano Russo,ITA,1987
Adrien Hunou,FRA,1994
Adrien Lebeau,FRA,1999
Adrien Louveau,FRA,2000
Adrien Rabiot,FRA,1995
Adrien Regattin,MAR,1991
Adrien Silva,POR,1989
Adrien Tameze,CMR,1994
Adrien Thomasson,FRA,1993
Adrien Truffert,FRA,2001
Adryan,BRA,1994
Afonso Figueiredo,POR,1993
Afriyie Acquah,GHA,1992
Ager Aketxe,ESP,1993
Agustin Rogel,URU,1997
Ahmad Benali,LBY,1992
Ahmad Ngouyamsa,CMR,2000
Ahmed Elmohamady,EGY,1987
Ahmed Hegazi,EGY,1991
Ahmed Kantari,MAR,1985
Ahmed Kashi,ALG,1988
Ahmed Kutucu,TUR,2000
Ahmed Musa,NGA,1992
Ahmet Arslan,TUR,1994
Ahmet Gurleyen,GER,1999
Aiden McGeady,IRL,1986
Aiden O'Neill,AUS,1998
Aihen Munoz,ESP,1997
Ailton,BRA,1995
Aimar Oroz,ESP,2001
Aimen Moueffek,FRA,2001
Ainsley Maitland-Niles,ENG,1997
