seasonID,leagueID,year,championID,startDate,endDate
1,1,2014,80,20140816,20150524
2,1,2015,75,20150808,20160517
3,1,2016,80,20160813,20170521
4,1,2017,88,20170811,20180513
5,1,2018,88,20180810,20190512
6,1,2019,87,20190809,20200726
7,1,2020,88,20200912,20210523
8,2,2014,98,20140830,20150531
9,2,2015,98,20150822,20160515
10,2,2016,98,20160820,20170528
11,2,2017,98,20170819,20180520
12,2,2018,98,20180818,20190526
13,2,2019,98,20190824,20200802
14,2,2020,106,20200919,20210523
15,3,2014,117,20140822,20150523
16,3,2015,117,20150814,20160514
17,3,2016,117,20160826,20170520
18,3,2017,117,20170818,20180512
19,3,2018,117,20180824,20190518
20,3,2019,117,20190816,20200627
21,3,2020,117,20200918,20210522
22,4,2014,148,20140824,20150524
23,4,2015,148,20150821,20160515
24,4,2016,150,20160820,20170521
25,4,2017,148,20170818,20180520
26,4,2018,148,20180817,20190519
27,4,2019,150,20190816,20200719
28,4,2020,143,20200912,20210523
29,5,2014,161,20140808,20150523
30,5,2015,161,20150807,20160514
31,5,2016,171,20160812,20170520
32,5,2017,161,20170804,20180519
33,5,2018,161,20180810,20190524
34,5,2019,161,20190809,20200428
35,5,2020,160,20200821,20210523
