gameID,seasonID,venueID,gameDate,homeGoals,awayGoals
81,2,85,2015-08-08 15:45:00,1,0
101,2,85,2015-08-22 15:45:00,0,0
127,2,85,2015-09-12 20:30:00,3,1
146,2,85,2015-09-26 18:00:00,3,0
179,2,85,2015-10-25 18:05:00,0,0
193,2,85,2015-11-07 19:00:00,2,0
226,2,85,2015-12-05 19:00:00,0,0
246,2,85,2015-12-19 19:00:00,1,2
267,2,85,2015-12-28 21:30:00,0,0
275,2,85,2016-01-02 19:00:00,2,1
303,2,85,2016-01-23 19:00:00,0,1
317,2,85,2016-02-03 00:00:00,3,0
348,2,85,2016-02-28 18:05:00,3,2
358,2,85,2016-03-03 00:00:00,1,0
393,2,85,2016-04-03 19:00:00,1,0
406,2,85,2016-04-16 18:00:00,1,0
417,2,85,2016-04-20 23:00:00,2,0
434,2,85,2016-05-01 17:05:00,1,1
460,2,85,2016-05-17 23:00:00,3,1
82,2,21,2015-08-08 18:00:00,0,1
114,2,21,2015-08-29 18:00:00,1,1
134,2,21,2015-09-19 18:00:00,2,0
153,2,21,2015-10-03 18:00:00,1,1
178,2,21,2015-10-25 18:05:00,1,5
191,2,21,2015-11-07 16:45:00,0,1
213,2,21,2015-11-28 19:00:00,3,3
236,2,21,2015-12-12 21:30:00,2,1
255,2,21,2015-12-26 19:00:00,0,0
283,2,21,2016-01-12 23:45:00,1,3
296,2,21,2016-01-16 19:00:00,3,0
329,2,21,2016-02-07 17:30:00,0,2
336,2,21,2016-02-13 19:00:00,1,3
350,2,21,2016-03-01 23:45:00,2,0
371,2,21,2016-03-12 19:00:00,3,2
386,2,21,2016-04-02 18:00:00,0,4
412,2,21,2016-04-17 16:30:00,1,2
422,2,21,2016-04-23 18:00:00,1,4
441,2,21,2016-05-07 18:00:00,1,1
83,2,46,2015-08-08 18:00:00,2,2
108,2,46,2015-08-23 19:00:00,0,2
121,2,46,2015-09-12 15:45:00,3,1
158,2,46,2015-10-04 16:30:00,1,1
166,2,46,2015-10-17 18:00:00,0,3
188,2,46,2015-11-01 17:30:00,6,2
206,2,46,2015-11-21 19:00:00,4,0
230,2,46,2015-12-08 00:00:00,1,1
245,2,46,2015-12-19 19:00:00,2,3
265,2,46,2015-12-28 19:00:00,3,4
280,2,46,2016-01-03 20:00:00,1,1
309,2,46,2016-01-24 17:30:00,1,2
319,2,46,2016-02-03 23:45:00,3,0
334,2,46,2016-02-13 19:00:00,0,1
363,2,46,2016-03-05 19:00:00,2,3
374,2,46,2016-03-19 16:45:00,0,2
407,2,46,2016-04-16 18:00:00,1,1
429,2,46,2016-04-30 18:00:00,2,1
453,2,46,2016-05-15 18:00:00,3,0
84,2,74,2015-08-08 18:00:00,4,2
105,2,74,2015-08-22 18:00:00,1,1
129,2,74,2015-09-13 19:00:00,3,2
144,2,74,2015-09-26 18:00:00,2,5
172,2,74,2015-10-24 18:00:00,1,0
192,2,74,2015-11-07 19:00:00,2,1
216,2,74,2015-11-28 21:30:00,1,1
240,2,74,2015-12-15 00:00:00,2,1
269,2,74,2015-12-29 23:45:00,0,0
274,2,74,2016-01-02 19:00:00,0,0
304,2,74,2016-01-23 19:00:00,3,0
312,2,74,2016-02-02 23:45:00,2,0
343,2,74,2016-02-27 19:00:00,1,0
351,2,74,2016-03-01 23:45:00,2,2
373,2,74,2016-03-14 00:00:00,1,0
392,2,74,2016-04-03 16:30:00,1,0
411,2,74,2016-04-17 16:30:00,2,2
425,2,74,2016-04-24 19:15:00,4,0
443,2,74,2016-05-07 20:30:00,3,1
85,2,97,2015-08-08 18:00:00,1,3
102,2,97,2015-08-22 18:00:00,1,1
126,2,97,2015-09-12 18:00:00,3,1
155,2,97,2015-10-03 18:00:00,1,2
174,2,97,2015-10-24 18:00:00,0,1
194,2,97,2015-11-07 19:00:00,1,0
220,2,97,2015-11-29 20:15:00,1,1
231,2,97,2015-12-12 16:45:00,1,1
263,2,97,2015-12-28 19:00:00,2,0
276,2,97,2016-01-02 19:00:00,1,0
301,2,97,2016-01-23 16:45:00,4,5
313,2,97,2016-02-02 23:45:00,0,3
333,2,97,2016-02-13 19:00:00,2,2
353,2,97,2016-03-01 23:45:00,1,2
369,2,97,2016-03-12 16:45:00,0,0
387,2,97,2016-04-02 18:00:00,3,2
405,2,97,2016-04-16 15:45:00,0,3
437,2,97,2016-05-07 15:45:00,0,1
448,2,97,2016-05-11 22:45:00,4,2
86,2,33,2015-08-08 20:30:00,2,2
115,2,33,2015-08-29 18:00:00,1,2
131,2,33,2015-09-19 15:45:00,2,0
157,2,33,2015-10-03 20:30:00,1,3
164,2,33,2015-10-17 18:00:00,2,0
