managerID,teamID,startDate,endDate
1,71,2012-06-01,2015-02-01
2,71,2015-02-01,2015-10-01
3,71,2015-11-01,2016-03-01
4,71,2016-06-01,2016-10-01
5,71,2016-10-01,2018-10-01
6,71,2018-10-01,2021-11-01
7,72,2013-08-01,2016-05-01
8,72,2016-06-01,2017-10-01
9,72,2017-11-01,2018-05-01
10,72,2018-05-01,2019-12-01
11,72,2019-12-01,2021-06-01
74,73,2012-10-01,2020-08-01
75,73,2020-08-01,2021-06-01
8,74,2014-06-01,2016-06-01
12,74,2013-01-01,2014-05-01
13,74,2016-06-01,2017-06-01
14,74,2017-06-01,2018-03-01
15,74,2018-03-01,2018-12-01
16,74,2018-12-01,
13,75,2017-10-01,2019-02-01
17,75,2011-11-01,2015-06-01
18,75,2015-07-01,2017-02-01
19,75,2017-02-01,2017-10-01
20,75,2019-02-01,
9,76,2020-12-01,2021-05-01
21,76,2014-06-01,2014-12-01
22,76,2015-01-01,2017-11-01
23,76,2017-11-01,2018-04-01
24,76,2018-04-01,2019-03-01
25,76,2019-03-01,2019-06-01
26,76,2019-06-01,2020-12-01
9,77,2015-10-01,2016-07-01
27,77,2013-10-01,2015-03-01
28,77,2015-03-01,2015-10-01
29,77,2016-07-01,2017-05-01
30,77,2017-06-01,2017-10-01
31,77,2017-11-01,2018-04-01
32,77,2018-05-01,2019-10-01
33,77,2019-10-01,2020-11-01
34,77,2020-12-01,2022-01-01
9,78,2016-12-01,2017-05-01
23,78,2015-01-01,2016-12-01
35,78,2014-08-01,2014-12-01
36,78,2017-09-01,2021-07-01
37,78,2021-07-01,
76,79,2014-04-01,2015-01-01
77,79,2015-01-01,2017-03-01
78,79,2017-05-01,2021-11-01
38,80,2013-06-01,2015-12-01
39,80,2015-12-01,2016-06-01
40,80,2016-07-01,2018-07-01
41,80,2018-07-01,2019-06-01
42,80,2019-07-01,2021-01-01
43,80,2021-01-01,2022-09-01
9,81,2011-06-01,2015-05-01
26,81,2015-06-01,2017-11-01
29,81,2017-11-01,
12,82,2014-05-01,2019-11-01
38,82,2019-11-01,2021-04-01
40,82,2021-11-01,
44,82,2021-06-01,2021-11-01
45,83,1996-10-01,2018-05-01
46,83,2018-05-01,2019-11-01
47,83,2019-12-01,
48,84,2014-02-01,2015-12-01
49,84,2016-01-01,2016-10-01
50,84,2016-10-01,2016-12-01
51,84,2017-01-01,2017-12-01
52,84,2017-12-01,2018-05-01
53,84,2018-06-01,2019-05-01
54,84,2019-06-01,2021-07-01
55,84,2021-08-01,
1,85,2018-01-01,2018-05-01
15,85,2013-05-01,2018-01-01
5,86,2019-07-01,2021-10-01
23,86,2010-12-01,2014-12-01
56,86,2015-01-01,2015-06-01
57,86,2015-06-01,2016-03-01
58,86,2016-03-01,2019-06-01
20,87,2012-06-01,2015-10-01
59,87,2015-10-01,
60,88,2013-06-01,2016-06-01
61,88,2016-07-01,
38,89,2016-05-01,2018-12-01
62,89,2014-07-01,2016-05-01
63,89,2018-12-01,2021-11-01
10,90,2017-05-01,2018-01-01
17,90,2019-12-01,2020-07-01
79,90,2014-10-01,2015-06-01
80,90,2015-06-01,2016-05-01
81,90,2016-07-01,2017-05-01
82,90,2018-01-01,2019-09-01
83,90,2020-08-01,2020-12-01
84,90,2020-12-01,2021-10-01
5,91,2012-06-01,2016-07-01
10,91,2017-01-01,2017-05-01
64,91,2016-07-01,2017-01-01
65,91,2017-06-01,2017-12-01
66,91,2017-12-01,2019-06-01
67,91,2019-06-01,2022-01-01
68,92,2012-10-01,2022-04-01
22,93,2017-12-01,2019-05-01
35,93,2020-06-01,2021-11-01
48,93,2017-06-01,2017-12-01
85,93,2013-11-01,2017-03-01
86,93,2019-06-01,2020-06-01
157,94,2019-07-01,2021-06-01
158,94,2016-09-01,2019-07-01
159,94,2015-12-01,2016-09-01
160,94,2010-11-01,2015-12-01
161,95,2019-07-01,2021-07-01
18,95,2019-03-01,2019-07-01
162,95,2017-06-01,2019-03-01
163,95,2016-01-01,2017-06-01
165,95,2013-06-01,2016-01-01
166,96,2016-04-01,2021-06-01
167,96,2014-06-01,2016-04-01
168,96,2014-01-01,2014-06-01
169,97,2019-01-01,
170,97,2018-07-01,2019-01-01
171,97,2015-10-01,2018-07-01
172,97,2015-05-01,2015-10-01
173,97,2014-07-01,2015-05-01
174,97,2014-01-01,2014-07-01
175,98,2020-08-01,2021-05-01
41,98,2019-06-01,2020-08-01
